Outlet_ID,Latitude,Longitude,rejection_reason
OUT_00030,79.923311,7.188307,coordinates_outside_sri_lanka
OUT_00090,0.0,0.0,coordinates_outside_sri_lanka
OUT_00171,79.999061,6.706547,coordinates_outside_sri_lanka
OUT_00252,80.032979,7.134312,coordinates_outside_sri_lanka
OUT_00457,80.008335,6.712571,coordinates_outside_sri_lanka
OUT_00511,80.019915,6.866704,coordinates_outside_sri_lanka
OUT_00561,79.854092,6.97343,coordinates_outside_sri_lanka
OUT_00582,79.888708,6.827655,coordinates_outside_sri_lanka
OUT_00600,79.968622,7.063528,coordinates_outside_sri_lanka
OUT_00678,79.979931,6.792686,coordinates_outside_sri_lanka
OUT_00793,79.807731,7.195166,coordinates_outside_sri_lanka
OUT_00843,79.939144,7.145659,coordinates_outside_sri_lanka
OUT_01216,79.986941,6.750583,coordinates_outside_sri_lanka
OUT_01354,79.940581,6.821819,coordinates_outside_sri_lanka
OUT_01420,79.951732,6.995408,coordinates_outside_sri_lanka
OUT_01428,80.029532,6.867805,coordinates_outside_sri_lanka
OUT_01431,80.051506,6.860055,coordinates_outside_sri_lanka
OUT_01496,79.854543,6.85238,coordinates_outside_sri_lanka
OUT_01647,79.859668,7.025433,coordinates_outside_sri_lanka
OUT_01864,0.0,0.0,coordinates_outside_sri_lanka
OUT_02043,79.940791,6.715928,coordinates_outside_sri_lanka
OUT_02047,79.984833,6.976765,coordinates_outside_sri_lanka
OUT_02049,79.868247,6.710596,coordinates_outside_sri_lanka
OUT_02072,79.928361,6.754062,coordinates_outside_sri_lanka
OUT_02277,80.086278,6.725566,coordinates_outside_sri_lanka
OUT_02313,79.903029,6.901366,coordinates_outside_sri_lanka
OUT_02384,79.803687,6.786329,coordinates_outside_sri_lanka
OUT_02389,0.0,0.0,coordinates_outside_sri_lanka
OUT_02401,79.801238,7.135446,coordinates_outside_sri_lanka
OUT_02426,0.0,0.0,coordinates_outside_sri_lanka
OUT_02473,79.979365,6.806948,coordinates_outside_sri_lanka
OUT_02505,79.812757,7.113135,coordinates_outside_sri_lanka
OUT_02537,79.9591,6.89281,coordinates_outside_sri_lanka
OUT_02794,79.875888,6.920065,coordinates_outside_sri_lanka
OUT_02795,0.0,0.0,coordinates_outside_sri_lanka
OUT_02862,0.0,0.0,coordinates_outside_sri_lanka
OUT_03018,79.964099,7.071395,coordinates_outside_sri_lanka
OUT_03035,79.94653,7.027663,coordinates_outside_sri_lanka
OUT_03058,80.029081,7.097782,coordinates_outside_sri_lanka
OUT_03099,80.024368,6.855001,coordinates_outside_sri_lanka
OUT_03128,79.888568,6.935204,coordinates_outside_sri_lanka
OUT_03282,79.991083,6.793468,coordinates_outside_sri_lanka
OUT_03316,79.983614,7.056978,coordinates_outside_sri_lanka
OUT_03691,0.0,0.0,coordinates_outside_sri_lanka
OUT_03694,79.937325,6.811954,coordinates_outside_sri_lanka
OUT_03725,80.064589,6.725084,coordinates_outside_sri_lanka
OUT_03757,80.009908,7.112418,coordinates_outside_sri_lanka
OUT_03765,79.836403,6.932757,coordinates_outside_sri_lanka
OUT_03921,80.021384,6.880778,coordinates_outside_sri_lanka
OUT_04007,79.953439,6.997774,coordinates_outside_sri_lanka
OUT_04103,79.943975,6.98551,coordinates_outside_sri_lanka
OUT_04168,80.025624,6.934824,coordinates_outside_sri_lanka
OUT_04322,79.918343,7.099934,coordinates_outside_sri_lanka
OUT_04442,79.91271,6.908471,coordinates_outside_sri_lanka
OUT_04611,80.015111,6.998361,coordinates_outside_sri_lanka
OUT_04854,79.933763,7.019787,coordinates_outside_sri_lanka
OUT_05052,79.853059,6.764865,coordinates_outside_sri_lanka
OUT_05092,80.008288,7.134405,coordinates_outside_sri_lanka
OUT_05235,79.839533,7.070622,coordinates_outside_sri_lanka
OUT_05275,79.818852,7.079338,coordinates_outside_sri_lanka
OUT_05445,79.947468,6.899855,coordinates_outside_sri_lanka
OUT_05496,79.926565,6.760391,coordinates_outside_sri_lanka
OUT_05557,79.887331,7.053084,coordinates_outside_sri_lanka
OUT_05559,79.99871,6.713487,coordinates_outside_sri_lanka
OUT_05599,79.817859,7.075591,coordinates_outside_sri_lanka
OUT_05621,79.866506,7.107367,coordinates_outside_sri_lanka
OUT_05682,79.830061,7.072917,coordinates_outside_sri_lanka
OUT_05701,79.966805,6.743494,coordinates_outside_sri_lanka
OUT_05780,79.993513,7.035217,coordinates_outside_sri_lanka
OUT_05969,79.956564,7.173669,coordinates_outside_sri_lanka
OUT_06028,0.0,0.0,coordinates_outside_sri_lanka
OUT_06141,80.059291,6.948112,coordinates_outside_sri_lanka
OUT_06189,79.874317,7.060835,coordinates_outside_sri_lanka
OUT_06294,80.054187,7.145109,coordinates_outside_sri_lanka
OUT_06340,80.015105,7.075476,coordinates_outside_sri_lanka
OUT_06426,79.890538,6.754745,coordinates_outside_sri_lanka
